bits	cover size	capacity
56	92	61
40	87	46
33	85	39
66	161	41
69	130	53
86	156	55
74	140	53
55	111	50
73	151	48
86	165	52
112	202	55
88	203	43
78	166	47
79	169	47
88	169	52
76	141	54
86	163	53
69	140	49
166	318	52
132	221	60
95	176	54
64	138	46
65	168	39
74	182	41
88	209	42
90	205	44
88	202	44
92	210	44
97	209	46
109	241	45
101	239	42
110	229	48
73	166	44
74	141	52
97	184	53
89	184	48
93	200	46
88	187	47
87	203	43
114	203	56
94	217	43
131	216	61
90	214	42
90	212	42
105	215	49
85	223	38
93	218	43
118	234	50
86	222	39
93	219	42
97	205	47
97	215	45
92	219	42
95	214	44
56	201	28
61	220	28
55	204	27
